		Total RNA				Ribosome-footprinted RNA			
	chbC	2.15385	1.65229	-0.382446	0.3549	0.623377	1.31388	1.07566	0.1115
	chbF	2.49949	2.27314	-0.136947	0.7316	1.49072	2.14251	0.523292	0.34465
	chbG	15.9682	15.8315	-0.0124055	0.97255	3.96372	4.33404	0.128859	0.8135
	chbR	2.39529	1.80753	-0.40618	0.3658	1.03104	1.42405	0.465896	0.5114
	cheA	1.8038	1.48102	-0.284445	0.47845	1.13571	0.870903	-0.38301	0.496
	cheB	1.19869	0.952366	-0.331873	1	0.0994843	0.238396	1.26082	1
	cheR	0.987824	0.713055	-0.47024	1	0	0	0	1
	cheW	3.41548	2.61795	-0.383653	0.42965	3.39203	2.55451	-0.4091	0.5445
	cheY	4.03752	3.77765	-9.60E-02	1	12.447	12.447	-0.00000459877	1
	cheZ	5.22048	4.69482	-0.153112	1	2.89877	2.88107	-0.00883695	1
	chiA	5.97489	5.70246	-0.067329	0.8502	4.2016	4.08848	-0.0393733	0.9302
	cho	4.29338	4.25997	-0.0112694	0.9824	3.04361	3.50745	0.204636	0.72595
	chpB	63.1638	60.8808	-0.0531117	0.90655	43.2059	55.9466	0.372824	0.63585
	chpS	138.375	132.673	-0.0607037	0.925	415.349	449.214	0.11308	0.825
	cirA	10.5974	7.5563	-0.487953	0.18335	25.0871	9.63413	-1.38072	0.00245
	citC	1.29704	0.973985	-0.413252	0.40065	0.136	0.0579494	-1.23074	1
	citD	2.20292	1.10487	-0.995537	0.50045	0.194825	0.124541	-0.645563	0.2088
	citE	2.03677	1.49716	-0.444053	0.3482	0.0892681	0.0351163	-1.346	1
	citF	1.72274	0.946253	-0.864403	0.05095	0.0629503	0.205075	1.70387	1
	citG	2.09835	1.37564	-0.609152	0.29485	0.180896	0.0462481	-1.9677	0.26535
	citT	3.528	3.46084	-0.0277304	0.9452	0.11065	0.244857	1.14593	0.3357
	citX	2.64206	2.66334	0.0115726	0.98415	0.0554303	0.0354334	-0.645563	1
	clcA	19.4363	17.8754	-0.120784	0.73485	12.3959	8.52503	-0.540081	0.21775
	clcB	5.72736	4.49789	-0.34862	0.54705	1.18248	0.964859	-0.293421	0.86025
	cld	271.089	263.232	-0.0424333	0.9037	212.34	185.318	-0.196378	0.6253
	clpA	111.918	122.834	0.134267	0.71245	120.485	131.399	0.125103	0.75705
	clpB	72.541	102.364	0.496838	0.193	109.231	161.124	0.560784	0.2049
	clpP	288.739	319.744	0.147155	0.67145	635.465	618.362	-0.0393608	0.92565
	clpS	80.4156	67.785	-0.246509	0.50335	117.174	79.8528	-0.553238	0.21085
	clpX	502.012	538.925	0.102364	0.79805	581.45	606.571	0.0610224	0.8837
	cls	25.0475	26.0392	0.0560169	0.86815	21.6485	21.183	-0.0313662	0.9386
	cmk	279.123	275.202	-0.0204117	0.95385	232.038	178.699	-0.376827	0.34625
	cmoA	17.9169	17.8054	-0.00900259	0.9893	20.463	17.4029	-0.233691	0.70695
	cmoB	35.2021	32.5077	-0.114881	0.77415	16.282	15.2111	-0.0981526	0.8642
	cmr	15.6184	15.658	0.0036612	0.99105	11.7814	11.197	-0.0733872	0.8706
	cmtA	1.67088	0.928276	-0.847979	0.06	0.493053	0.789356	0.678934	0.3523
	cmtB	0.981221	0.994955	0.020053	0.9748	6.48887	6.62644	0.0302662	0.9582
	cnu	107.613	107.738	0.00167221	0.99765	573.552	339.533	-0.756373	0.07905
	coaA	17.7817	18.2468	0.0372444	0.9213	26.6795	22.1305	-0.269697	0.5369
	coaD	36.2204	32.503	-0.156226	0.66995	65.183	54.1792	-0.266757	0.53125
	coaE	60.9566	65.9419	0.113412	0.82155	56.5458	56.3944	-0.00386737	0.9957
	cobB	23.2585	27.9267	0.263887	0.4602	41.5468	50.5286	0.282363	0.49155
	cobC	13.5535	12.1808	-0.154052	0.6792	5.17447	4.52886	-0.192263	0.7232
	cobS	22.5459	23.7925	0.077643	0.87295	36.7261	38.5209	0.0688322	0.8787
	cobT	18.7503	17.6175	-0.0899058	0.80095	19.1217	18.2599	-0.0665326	0.87815
	cobU	25.9334	27.0556	0.0611158	0.91075	13.5574	15.2123	0.166156	0.8637
	codA	0.00889639	0.0097247	0.128434	1	0.0471357	0.0114766	-2.03813	1
	codB	0.00454904	0.00994516	1.12843	1	0.0137703	0.0117368	-0.230526	1
	cof	15.1894	18.8858	0.314234	0.37465	5.66315	6.14612	0.11807	0.8104
	cohE	0	0	0	1	0	0	0	1
	copA	18.0094	18.8189	0.0634335	0.85465	25.1666	27.1724	0.11063	0.77895
	corA	180.611	196.455	0.121311	0.7302	138.155	164.711	0.253646	0.52385
	cpdA	209.897	138.888	-0.59576	0.157	112.803	52.0673	-1.11535	0.01395
	cpdB	25.1589	24.9462	-0.0122519	0.97135	77.1127	72.7569	-0.0838836	0.83475
	cpsB	2.37038	1.33807	-0.824967	0.0504	1.11301	0.974744	-0.191373	0.7558
	cpsG	2.1765	1.52084	-0.51714	0.21655	1.84054	1.37507	-0.420623	0.47665
	cpxA	52.4389	53.4278	0.0269518	0.9532	20.7703	21.4891	0.0490856	0.96085
	cpxP	175.265	166.762	-0.0717454	0.8635	94.2557	129.121	0.45407	0.32915
	cpxR	78.1049	79.5436	0.0263333	0.96205	259.069	277.345	0.0983479	0.823
	crcB	20.2209	23.1121	0.192799	0.61375	42.274	43.6837	0.0473241	0.9174
	creA	35.5131	40.9719	0.206286	0.57735	128.953	138.498	0.103025	0.79495
	creB	24.07	25.7074	0.094951	0.8398	6.32525	7.61639	0.267987	0.68155
	creC	8.20647	7.63914	-0.103352	0.8478	1.93412	2.86123	0.564963	0.4358
	creD	4.96283	3.58567	-0.468921	0.21465	0.327044	0.609117	0.897232	0.274
	crl	102.166	106.401	0.0586017	0.8667	287.829	334.061	0.2149	0.58225
	croE	0	0	0	1	0	0	0	1
	crp	350.53	337.244	-0.0557472	0.87395	579.446	502.074	-0.206775	0.60535
	crr	749.648	740.37	-0.0179668	0.9622	3105.1	2765.82	-0.166929	0.68765
	csdA	31.7254	28.7266	-0.143251	0.73865	15.425	14.341	-0.10512	0.84595
	csdE	64.8918	64.6133	-0.00620349	0.99215	55.7858	49.0462	-0.185756	0.76
	csgA	5.11087	3.81265	-0.422776	0.36205	12.4185	13.1902	0.0869763	0.8609
	csgB	1.01301	1.11772	0.141912	0.82095	0.875723	0.0661703	-3.72622	0.2171
	csgC	1.20934	1.1047	-0.130568	0.8722	0.566086	0.326809	-0.792572	0.6681
	csgD	0.391594	0.226411	-0.790415	0.39905	0.578562	0.451085	-0.359072	0.75625
	csgE	0.607902	0.139415	-2.12445	0.16305	0.836636	0.329062	-1.34624	0.3903
	csgF	0.918549	0.452421	-1.02169	0.2516	0.0784521	0.601323	2.93826	0.2699
	csgG	3.50289	3.37664	-0.0529563	0.8949	0.783552	0.824163	0.0729013	0.9288
	csiD	2.74779	2.23627	-0.297176	0.4893	1.09659	0.679926	-0.689569	0.3825
	csiE	15.4501	16.001	0.0505473	0.9201	14.8174	18.1023	0.288882	0.5491
	csiR	14.8858	16.6163	0.158665	0.67435	2.33426	2.59567	0.15314	0.8112
	cspA	4804.02	3761.45	-0.352955	0.33855	50759.3	35278.7	-0.524877	0.23975
	cspB	174.039	95.7532	-0.862015	0.04805	2518.28	949.008	-1.40795	0.001
	cspC	3783.13	3659.41	-0.0479683	0.8892	25979	20585.3	-0.335735	0.4251
	cspD	2264.8	2541.76	0.16644	0.65345	11828	13549.7	0.196055	0.65535
	cspE	6515.05	8540.03	0.390465	0.28795	55195.9	39992.5	-0.46483	0.3359
	cspF	37.1747	28.4223	-0.387295	0.405	15.2285	6.44591	-1.24032	0.19705
	cspG	556.17	355.22	-0.646813	0.09585	6562.36	3304.32	-0.989861	0.0162
	cspH	22.3409	15.4473	-0.532333	0.3319	10.1846	10.9601	0.105873	0.90095
	cspI	3.21995	1.27491	-1.33664	0.2367	38.7089	17.1536	-1.17415	0.0845
	csrA	2425.61	2358.17	-0.0406803	0.9053	19761.5	18352.1	-0.106749	0.79675
	csrD	27.9176	27.4632	-0.0236779	0.946	7.49707	6.55881	-0.192893	0.66505
	cstA	36.721	40.3258	0.1351	0.7004	24.9494	20.1943	-0.305057	0.44905
	cueO	13.8171	15.3852	0.15509	0.6587	16.9141	28.6033	0.757954	0.06075
	cueR	48.8825	43.7078	-0.161429	0.66275	94.8189	110.32	0.218453	0.5974
	cusA	3.23271	2.40178	-0.428639	0.25535	0.0866991	0.0759744	-0.190504	1
	cusB	1.95275	1.0676	-0.871144	0.0523	0.1877	0.233756	0.316576	0.7763
	cusC	1.54088	1.32466	-0.218133	0.6114	0.244504	0.129761	-0.914004	0.41945
	cusF	1.69487	1.30131	-0.381215	0.6008	5.63324	4.10646	-0.456069	0.54765
	cusR	26.8723	27.457	0.0310571	0.9439	24.2098	24.488	0.0164861	0.97665
	cusS	7.14288	6.30016	-0.181117	0.7533	4.19684	3.8375	-0.129136	0.87725
	cutA	18.9559	20.8626	0.138273	0.89305	117.356	119.103	0.0213225	0.97115
	cutC	60.7893	75.9439	0.321117	0.3544	64.0825	74.3246	0.213908	0.59355
	cvpA	411.902	431.963	0.0686075	0.84285	33.8467	28.8266	-0.231614	0.6143
	cvrA	3.94803	3.50536	-0.17157	0.6572	2.69006	2.24773	-0.259172	0.59595
	cyaA	22.4882	22.1396	-0.0225384	0.9514	8.31091	7.86623	-0.0793341	0.8513
	cyaY	96.2952	93.5854	-0.0411791	0.91015	282.144	249.747	-0.175966	0.6733
	cybB	17.75	19.4082	0.128849	0.7299	109.403	117.445	0.10233	0.79665
	cybC	36.6142	43.4415	0.246671	0.5348	2.54182	6.02331	1.2447	0.19385
	cycA	27.3553	26.3149	-0.0559402	0.8751	7.59959	5.08998	-0.578261	0.20685
	cydA	313.502	302.897	-0.0496467	0.8998	271.525	302.813	0.157343	0.706
	cydB	406.217	381.861	-0.0892002	0.814	213.75	220.731	0.0463609	0.9119
	cydC	22.7759	22.9607	0.0116636	0.9726	14.4334	14.3861	-0.00473656	0.99095
	cydD	30.5259	31.734	0.0559959	0.87105	20.0331	19.4455	-0.0429521	0.9136
	cynR	0	0.00753479	inf	1	0.00695523	0.00889217	0.354437	1
	cynS	0.0178588	0.0195215	0.128434	1	0	0	0	1
	cynT	0.0209996	0.0229548	0.128434	1	0.0105946	0	#NAME?	1
	cynX	0.0100998	0.0110401	0.128434	1	0.010191	0.0325725	1.67637	1
	cyoA	245.489	252.568	0.0410095	0.9187	326.329	332.241	0.0259047	0.94795
	cyoB	231.435	237.292	0.0360562	0.94635	162.501	148.54	-0.129606	0.77355
	cyoC	410.646	412.905	0.00791413	0.9933	182.507	158.106	-0.207062	0.82725
	cyoD	1152.47	1120.26	-0.040894	0.9111	895.703	754.037	-0.248385	0.54645
	cyoE	474.017	442.499	-9.93E-02	0.80705	73.8148	73.8143	-0.00000967921	0.99945
	cysA	4.38568	3.52627	-0.314655	0.60025	1.17748	1.64773	0.48477	0.54325
	cysB	16.3333	15.1332	-0.110103	0.75835	57.7615	44.1572	-0.387459	0.33115
	cysC	4.98489	3.74525	-0.412497	0.59395	0.576445	0.337537	-0.772137	0.73555
	cysD	1.66628	1.53503	-0.118358	0.7945	0.542549	0.307268	-0.820258	0.4345
	cysE	75.0045	98.9091	0.399126	0.25315	31.7467	47.3042	0.57536	0.166
	cysG	41.2751	41.769	0.0171603	0.95795	18.0339	18.2547	0.0175537	0.9643
	cysH	3.36585	3.32136	-0.019198	0.96425	2.86185	2.37943	-0.266331	0.6549
	cysI	3.56506	2.76774	-0.365219	0.4572	0.807807	1.50099	0.893835	0.21675
	cysJ	2.57993	1.80759	-0.51326	0.3825	0.339722	0.42534	0.324262	0.78465
	cysK	50.2991	51.8317	0.0433041	0.89985	184.746	176.957	-0.0621454	0.87235
	cysM	9.8799	8.33404	-0.24548	0.5848	15.7679	15.6854	-0.007566	0.9858
	cysN	4.6875	3.80593	-0.300567	0.48495	1.88388	2.0598	0.128801	0.80435
	cysP	2.24481	1.5254	-0.557403	0.557	1.14697	1.60184	0.481904	0.58985
	cysQ	36.7455	40.4626	0.13902	0.6981	68.5709	70.0533	0.0308548	0.93845
	cysS	112.592	110.526	-0.0267241	0.94155	131.629	120.736	-0.124625	0.7523
	cysU	3.23006	2.06459	-0.645704	0.47715	0.787379	0.49555	-0.668027	0.6521
	cysW	3.61646	3.1175	-0.214189	0.77375	0.144053	0.221004	0.617471	1
	cysZ	30.9214	31.8875	0.0443839	0.9009	40.1723	33.5612	-0.259411	0.52945
	cytR	104.358	113.09	0.115936	0.7618	48.7879	53.0907	0.121936	0.77575
	dacA	80.3244	77.4975	-0.0516889	0.8808	169.979	146.707	-0.21242	0.58855
	dacB	10.1777	9.87117	-0.0441205	0.8988	11.0165	12.2922	0.158084	0.7158
	dacC	17.1354	19.7508	0.204929	0.5564	36.8317	49.9641	0.439941	0.26535
	dacD	7.02711	6.18905	-0.183213	0.6278	1.22294	1.09632	-0.157681	0.7985
	dadA	50.7133	71.3563	0.492677	0.15555	40.3106	74.7337	0.890602	0.02605
	dadX	44.1105	63.0745	0.515935	0.1432	19.8426	33.3346	0.748419	0.07345
	dam	72.561	70.7789	-0.035874	0.9165	16.04	13.2192	-0.279031	0.5357
	damX	202.329	196.915	-0.0391284	0.9163	92.8831	90.0237	-0.0451107	0.90705
	dapA	332.201	335.316	0.0134651	0.9691	314.797	288.404	-0.126332	0.7464
	dapB	41.2829	46.2909	0.165186	0.6301	121.182	124.198	0.0354713	0.9287
	dapD	119.252	130.648	0.131673	0.7031	486.858	518.724	0.0914644	0.82035
	dapE	39.6642	37.6356	-0.0757391	0.8281	47.5991	44.2306	-0.105889	0.78705
	dapF	67.4154	64.8427	-0.0561342	0.921	37.2523	31.7604	-0.2301	0.73005
	dbpA	12.0349	10.5832	-0.185444	0.6019	6.02156	5.91352	-0.0261211	0.9535
	dcd	150.505	136.841	-0.137311	0.6866	169.407	175.373	0.0499407	0.89855
	dcm	16.3817	15.6466	-0.066237	0.8674	15.0102	13.8751	-0.113449	0.80075
	dcp	13.9324	15.2116	0.126724	0.7181	39.5431	36.6551	-0.109412	0.7823
	dcrB	202.291	203.298	0.00716534	0.9851	376.524	400.53	0.089169	0.8192
	dctA	182.005	192.17	0.0784054	0.83465	188.146	209.32	0.153863	0.7082
	dctR	0.558351	0.413977	-0.431622	0.5888	0.327985	0.329658	0.00734065	0.95825
	dcuA	263.477	267.191	0.0201937	0.9579	244.69	403.769	0.722573	0.0763
	dcuB	7.54837	6.78346	-0.154144	0.67865	0.584196	0.506815	-0.204992	0.7892
	dcuC	5.14139	3.67079	-0.486065	0.2148	4.25895	4.01588	-0.0847814	0.8727
	dcuD	3.41531	2.48533	-0.458579	0.24855	0.687361	0.388507	-0.823126	0.28945
	dcuR	20.2072	18.4294	-0.132854	0.8255	43.6153	42.9946	-0.0206816	0.96565
	dcuS	14.2053	12.9073	-0.138236	0.749	5.91423	6.13357	0.0525354	0.94555
	dcyD	16.6146	15.4546	-0.104413	0.7692	18.1056	16.2431	-0.156612	0.7142
	ddlA	77.5562	74.6726	-0.0546634	0.87155	194.293	160.368	-0.276845	0.48395
	ddlB	189.996	193.31	0.024952	0.96395	52.7053	54.8799	0.0583292	0.93405
	ddpA	1.46048	1.00015	-0.546222	0.2146	0.627903	0.576621	-0.122918	0.85895
	ddpB	1.83427	1.25187	-0.551117	0.49695	0.245465	0.0982936	-1.32035	0.5072
	ddpC	2.18825	1.53801	-0.50871	0.51885	0.188626	0.0893051	-1.07871	1
	ddpD	1.6701	1.19503	-0.482889	0.56475	0.0943276	0.493712	2.38792	0.2704
	ddpF	2.66958	1.72822	-0.627321	0.3792	0.264546	0.158323	-0.740643	0.66095
	ddpX	1.72258	0.964909	-0.836104	0.13555	1.30871	0.644077	-1.02284	0.2927
	deaD	323.343	293.347	-0.140461	0.7272	284.604	237.066	-0.263672	0.5196
	dedA	49.6929	49.8402	0.00426946	0.99075	33.3599	29.0766	-0.198258	0.6462
	dedD	186.161	181.536	-0.0362991	0.9412	39.857	45.7651	0.199416	0.789
	def	193.607	199.202	0.0411013	0.90385	193.693	181.093	-0.0970443	0.80305
	degP	90.9774	97.3952	0.0983428	0.77745	209.077	218.139	0.0612098	0.8753
	degQ	18.7036	17.6031	-0.0874861	0.79975	40.059	38.1374	-0.0709221	0.85965
	degS	26.8693	26.8647	-0.000245226	0.9997	9.57066	9.23785	-0.0510622	0.90605
	deoA	87.1496	100.2	0.201311	0.5856	33.673	35.3168	0.0687641	0.8672
	deoB	444.199	492.186	0.147997	0.70955	1044.62	1109.54	0.0869917	0.84385
	deoC	79.7007	86.9693	0.125914	0.736	245.213	284.399	0.21388	0.60705
	deoD	399.671	443.421	0.149864	0.68555	2822.61	3156.13	0.161129	0.71695
	deoR	64.4031	66.1499	0.0386094	0.91135	28.9486	28.2826	-0.0335797	0.9347
	der	116.69	107.037	-0.124566	0.7185	143.855	127.295	-0.176432	0.6539
	dfp	110.495	104.699	-0.0777356	0.85235	72.4858	74.9721	0.0486559	0.9505
	dgkA	88.1586	88.031	-0.00208918	0.9952	94.5494	94.6198	0.00107304	0.99735
	dgoA	7.74281	7.39101	-0.0670858	0.947	2.5602	3.38946	0.404799	0.85505
	dgoD	4.16886	3.1861	-0.387862	0.68255	5.01568	5.35737	0.0950776	0.9369
	dgoK	9.34879	10.0589	0.105621	0.8729	3.35635	4.21376	0.328211	0.8268
	dgoR	18.1463	19.8079	0.126396	0.82435	42.3261	41.5363	-0.0271733	0.9573
	dgoT	3.92393	2.98377	-0.395161	0.40415	0.363942	0.329834	-0.141967	0.89275
	dgsA	20.7358	22.5563	0.121407	0.74665	19.7466	22.9759	0.218519	0.6059
	dgt	9.95593	9.41432	-0.080699	0.82365	6.67626	7.34149	0.137033	0.75755
	dhaK	106.165	194.812	0.875784	0.0151	124.26	315.033	1.34213	0.0012
	dhaL	119.712	218.276	0.866584	0.01525	124.121	308.424	1.31317	0.0014
	dhaM	59.9196	108.257	0.853364	0.0162	31.982	68.7948	1.10504	0.007
	dhaR	8.59637	8.71406	0.0196184	0.9552	3.28222	3.97576	0.27656	0.5529
	diaA	71.5986	70.0273	-0.0320146	0.92395	44.1756	42.4584	-0.0571999	0.89125
	dicB	0.92574	0	#NAME?	1	1.36073	0.745573	-0.867956	1
	dicC	2.88934	2.51125	-0.202333	0.80375	27.9116	21.1851	-0.397815	0.53205
	dinB	11.4074	12.3548	0.115101	0.75745	6.2252	8.84766	0.507174	0.2746
	dinD	9.84741	12.1196	0.299526	0.42445	57.4294	94.2143	0.714157	0.07235
	dinF	13.6682	11.8573	-0.205041	0.56875	2.96537	3.0998	0.0639609	0.89805
	dinG	24.8996	24.0368	-0.050878	0.88125	7.14472	6.78286	-0.0749843	0.8599
	dinI	103.759	119.188	0.199998	0.6018	266.292	274.596	0.0443028	0.91755
	dinJ	140.669	129.821	-0.115778	0.7606	841.663	695.84	-0.274488	0.48875
	dinQ	3245.34	3315.09	0.0306791	0.9645	24.165	37.9654	0.651769	0.8216
	djlA	30.6525	28.7993	-0.0899682	0.7977	54.9164	43.9446	-0.321553	0.42625
	djlB	0.817441	0.484038	-0.755994	0.19265	0.211959	0.17976	-0.237718	0.83085
	djlC	2.46837	2.11878	-0.220328	0.61565	0.636293	0.608127	-0.0653184	0.93295
	dkgA	10.3177	11.8434	0.198966	0.59045	27.7259	32.5578	0.231767	0.59185
	dkgB	10.3549	9.91354	-0.0628413	0.9144	66.2744	61.8317	-0.100106	0.8303
	dksA	1513.76	1421.14	-0.0910847	0.81515	4096.31	4037.59	-0.0208304	0.96085
	dld	21.8308	21.7676	-0.00417959	0.9906	49.9384	46.6632	-0.0978636	0.80535
	dmsA	3.52181	3.58129	0.024162	9.48E-01	1.40203	6.13212	2.12887	0.00005
	dmsB	4.4956	4.45843	-0.0119787	0.9774	2.84027	3.06334	0.10908	0.8673
	dmsC	7.61428	7.6853	0.0133951	0.9739	0.704028	1.19963	0.768884	0.3186
	dmsD	17.6653	16.7578	-0.0760854	0.8395	49.6113	40.3563	-0.297875	0.47765
	dnaA	179.716	168.388	-0.0939336	0.804	62.3237	55.328	-0.171773	0.67065
	dnaB	93.4372	90.8919	-0.0398454	0.90575	35.6051	34.7575	-0.03476	0.9327
	dnaC	29.6751	25.2079	-0.235375	0.53165	26.4805	22.2865	-0.248755	0.57325
	dnaE	83.1108	82.0578	-0.0183948	0.96215	10.2431	9.66663	-0.083574	0.8341
	dnaG	83.4181	74.5707	-0.161753	0.6561	9.2042	7.07245	-0.380082	0.38735
	dnaJ	72.3903	92.3963	0.352039	0.37945	206.666	270.364	0.387603	0.4021
	dnaK	357.32	521.116	0.544389	0.2425	1049.55	1447.97	0.464269	0.39905
	dnaN	178.338	164.845	-0.113496	0.7974	118.375	112.36	-0.0752345	0.85765
	dnaQ	37.1634	40.1647	0.112044	0.746	69.3001	70.7068	0.0289924	0.94235
	dnaT	32.9813	28.4661	-0.212403	0.56575	33.5352	32.1618	-0.0603257	0.8965
	dnaX	122.783	109.32	-0.167557	0.6396	26.3278	25.4431	-0.0493136	0.9035
	dos	0.741822	0.472548	-0.650613	0.15825	0.320326	0.329587	0.041118	0.95605
	dpiA	13.2671	12.2351	-0.116829	0.85735	17.1158	13.76	-0.31485	0.52925
	dpiB	9.8498	8.3446	-0.239252	0.57695	0.818937	0.941755	0.2016	0.87515
	dppA	21.1664	15.2118	-0.476579	0.1752	17.7013	9.04134	-0.969245	0.0236
	dppB	5.68181	4.8802	-0.219409	0.5786	0.252279	0.390659	0.630887	0.53875
	dppC	8.83532	6.93109	-0.350201	0.35965	1.00258	1.10152	0.135775	0.84795
	dppD	7.97136	6.78173	-0.233171	0.6892	0.884871	0.682312	-0.375034	0.71425
	dppF	9.67279	9.34359	-0.0499558	0.92095	1.02951	1.5219	0.563909	0.45475
	dps	161.958	168.894	0.0604959	0.8644	940.56	806.352	-0.222111	0.5752
	dsbA	99.6426	102.362	0.0388518	0.9128	526.958	458.314	-0.201352	0.6222
	dsbB	130.807	161.771	0.306512	0.3736	183.283	185.005	0.0134911	0.9694
	dsbC	91.1822	87.5842	-0.0580823	0.86945	281.492	235.279	-0.258717	0.5133
	dsbD	12.2706	12.5847	0.0364673	0.92405	13.5501	13.7781	0.0240749	0.96605
	dsbG	9.95165	8.90176	-0.160845	0.6756	39.4165	30.504	-0.369802	0.38165
	dsdA	76.1298	99.7948	0.390502	0.26645	318.396	411.499	0.370068	0.37535
	dsdC	11.0938	13.9787	0.333475	0.38485	30.9654	35.4297	0.194302	0.6567
	dsdX	43.1892	50.7519	0.232792	0.5589	76.3408	83.12	0.122743	0.779
	dsrB	160.763	168.386	0.0668334	0.86175	1214.72	1421.7	0.226992	0.5868
	dtd	91.123	103.742	0.187118	0.78115	93.7555	115.97	0.30678	0.6946
	dtpB	44.4693	56.967	0.357315	0.29705	46.9765	65.4146	0.477674	0.23005
	dusA	61.7779	57.1274	-0.112908	0.7375	86.4297	81.3673	-0.0870774	0.82355
	dusB	118.513	94.8076	-0.321966	0.3529	5.87421	4.53208	-0.37422	0.48025
	dusC	16.3629	13.9276	-0.232489	0.518	8.08516	6.26556	-0.367832	0.4278
	dut	202.87	196.902	-0.0430774	0.94695	630.279	551.55	-0.192498	0.7037
	dxr	30.5668	33.5821	0.135726	0.69395	22.5468	19.7617	-0.190216	0.64435
	dxs	47.8812	54.1166	0.176613	0.61705	28.6129	39.3622	0.460142	0.24935
	eamA	9.73898	10.4698	0.104396	0.7777	6.71422	7.93151	0.240376	0.60415
	eamB	12.2471	13.3377	0.123066	0.7469	1.32602	0.987791	-0.424821	0.61455
	ebgA	3.66906	3.0503	-0.26646	0.485	1.83358	2.08015	0.182023	0.71935
	ebgC	3.84578	4.00857	0.0598138	0.96115	4.67104	2.97166	-0.652477	0.63435
	ebgR	8.54611	7.27266	-0.232784	0.5413	12.7313	10.8223	-0.234382	0.6089
	ecnA	393.765	409.002	0.0547729	0.89205	130.108	172.903	0.410262	0.5447
	ecnB	612.994	656.976	0.0999662	0.79845	5666.38	4718.54	-0.264086	0.51885
	eco	49.6541	49.7683	0.00331329	0.99275	291.356	277.053	-0.0726244	0.85445
	ecpD	1.30928	0.769151	-0.767431	0.1717	1.19775	0.736442	-0.701683	0.3868
	eda	193.437	183.52	-0.0759273	0.8215	730.042	815.684	0.160032	0.68435
	edd	24.9099	24.003	-0.0535035	0.87425	3.96544	4.12456	0.056762	0.9033
	efeB	8.09926	10.6136	0.390055	0.3146	2.89158	5.18323	0.841994	0.10365
	efeO	13.1989	18.916	0.519188	0.17185	27.4789	37.9288	0.464967	0.2818
	efeU	13.1168	20.6746	0.656445	0.13535	1.93502	4.71529	1.285	0.1675
	efp	664.465	610.588	-0.121995	0.74305	2659.63	2073.64	-0.359064	0.39205
	elaA	13.4685	13.3659	-0.0110294	0.97655	42.3226	40.4667	-0.0646949	0.8834
	elaB	64.1201	68.6312	0.0980878	0.79895	318.201	386.966	0.282267	0.5104
	elaD	0.378872	0.317733	-0.253897	0.6715	1.45049	0.83823	-0.791126	0.2231
	elbB	104.068	112.309	0.109948	0.89195	681.299	696.519	0.0318749	0.95785
	emrA	9.96662	10.6463	0.0951721	1	8.65236	12.9716	0.584194	1
	emrB	8.88083	9.95562	0.164817	0.7965	5.23631	4.48289	-0.224122	0.69915
	emrB	11.7273	11.5851	-0.0175954	1	0	0	0	1
	emrD	58.614	45.2547	-0.373175	0.29295	31.564	22.6864	-0.476457	0.26505
	emrE	25.8824	33.0662	0.353389	0.36075	189.665	152.005	-0.31934	0.4386
	emrK	0.690321	0.392408	-0.814914	0.27895	0.77621	0.74152	-0.0659616	0.934
	emrY	0.618504	0.384187	-0.686974	0.2823	0.274291	0.31791	0.21291	0.8563
	emtA	66.087	59.4002	-0.153899	0.66035	162.239	163.285	0.00927205	0.98335
	endA	7.90921	6.40996	-0.303219	0.43345	3.61608	3.4003	-0.0887642	0.8733
	eno	393.58	356.483	-0.142825	0.70835	1919.83	1670.61	-0.200602	0.65165
	entA	16.8017	17.6845	0.0738761	0.8927	11.2119	13.3697	0.253936	0.8157
	entB	13.4435	15.041	0.161992	0.7881	32.0819	32.8777	0.0353492	0.951
	entC	8.38011	10.1089	0.270581	0.4966	9.01219	13.2614	0.557282	0.27925
	entD	7.03729	6.23314	-0.175059	0.65295	0.624939	0.34883	-0.841193	0.4134
	entE	9.63463	11.5399	0.260325	0.51345	6.97757	10.061	0.527976	0.2902
	entF	7.027	8.10709	0.206274	0.5728	2.05368	2.58744	0.333312	0.49585
	entH	12.3879	15.0499	0.280823	0.49755	4.2503	4.97588	0.227388	0.74415
	entS	5.85288	6.87323	0.231842	0.5688	2.71914	5.39304	0.987952	0.06905
	envC	44.9953	36.9907	-0.282613	0.4112	18.99	19.4377	0.0336216	0.93235
	envR	0.977333	0.682792	-0.517404	0.398	0.565825	0.685733	0.277291	0.7783
	envY	1.54727	1.44242	-0.101233	0.8364	0.550411	0.45946	-0.26057	0.78625
	envZ	59.9048	60.6157	0.0170203	0.9736	17.9715	18.0368	0.00523401	0.99735
	epd	111.97	125.483	0.164373	0.62845	39.8705	38.1618	-0.063191	0.8753
	eptA	1.78761	1.57501	-0.182678	0.81305	0.127997	0.262505	1.03624	0.7289
	eptB	30.1409	25.1512	-0.261094	0.4419	25.1533	12.6942	-0.986581	0.0181
	era	93.3991	83.6909	-0.158338	0.71115	88.1506	82.3364	-0.0984404	0.85205
	erfK	11.5811	11.4151	-0.0208242	0.9541	17.5837	16.5609	-0.0864547	0.84585
	erpA	400.112	387.302	-0.0469465	0.8927	309.339	942.934	1.60797	0.0002
	essD	17.6519	10.5477	-0.742888	0.7838	18.4671	8.15816	-1.17864	0.50925
